"","subj","word","rt","acc","wordLength","realpseudo","visit_age"
"13010",99,"garden",0.654045,1,6,"real",9.75
"13126",99,"open",7.9463,0,4,"real",9.75
"13161",99,"then",0.836195,1,4,"real",9.75
"13331",99,"children",0.791955,1,8,"real",9.75
"13400",99,"even",0.566655,1,4,"real",9.75
"13526",100,"garden",0.5286,1,6,"real",9.75
"13621",100,"then",0.53506,1,4,"real",9.75
"13693",100,"open",1.239935,0,4,"real",9.75
"13893",100,"children",0.697375,1,8,"real",9.75
"13898",100,"even",0.620005,1,4,"real",9.75
"14062",21,"garden",1.654455,1,6,"real",9.75
"14115",21,"open",1.03518,1,4,"real",9.75
"14154",21,"then",0.983805,1,4,"real",9.75
"14348",21,"even",1.017585,1,4,"real",9.75
"14386",21,"children",0.68123,1,8,"real",9.75
"14510",99,"garden",0.654045,1,6,"real",9.75
"14626",99,"open",7.9463,0,4,"real",9.75
"146611",99,"then",0.836195,1,4,"real",9.75
"14831",99,"children",0.791955,1,8,"real",9.75
"14900",99,"even",0.566655,1,4,"real",9.75
"15026",100,"garden",0.5286,1,6,"real",9.75
"15121",100,"then",0.53506,1,4,"real",9.75
"15193",100,"open",1.239935,0,4,"real",9.75
"15393",100,"children",0.697375,1,8,"real",9.75
"15398",100,"even",0.620005,1,4,"real",9.75
"15595",61,"garden",1.639375,1,6,"real",9.66666666666667
"15654",61,"open",0.757835,1,4,"real",9.66666666666667
"15687",61,"then",0.818505,1,4,"real",9.66666666666667
"158831",61,"even",0.511645,0,4,"real",9.66666666666667
"15887",61,"children",0.405195,1,8,"real",9.66666666666667
"16059",101,"garden",0.758,1,6,"real",9.66666666666667
"16115",101,"open",0.671,1,4,"real",9.66666666666667
"16143",101,"then",0.839,1,4,"real",9.66666666666667
"16306",101,"even",0.625,1,4,"real",9.66666666666667
"16323",101,"children",0.768,1,8,"real",9.66666666666667
"16558",93,"garden",0.43408,1,6,"real",9.16666666666667
"16603",93,"open",0.23301,0,4,"real",9.16666666666667
"16646",93,"then",0.053845,0,4,"real",9.16666666666667
"16822",93,"even",0.07677,1,4,"real",9.16666666666667
"16879",93,"children",5.07401,1,8,"real",9.16666666666667
"17079",106,"garden",0.542165,1,6,"real",9.16666666666667
"17157",106,"then",0.717155,1,4,"real",9.16666666666667
"17172",106,"open",0.534395,1,4,"real",9.16666666666667
"17368",106,"children",0.676215,1,8,"real",9.16666666666667
"17372",106,"even",0.718115,1,4,"real",9.16666666666667
"17563",51,"garden",1.6036,0,6,"real",9.08333333333333
"17606",51,"open",1.3248,1,4,"real",9.08333333333333
"17614",51,"then",0.3364,1,4,"real",9.08333333333333
"17850",51,"even",1.2212,1,4,"real",9.08333333333333
"17854",51,"children",2.0199,1,8,"real",9.08333333333333
"18026",111,"garden",0.865195,1,6,"real",9.08333333333333
"18106",111,"then",0.98533,1,4,"real",9.08333333333333
"18174",111,"open",0.77072,1,4,"real",9.08333333333333
"18317",111,"children",0.913315,1,8,"real",9.08333333333333
"18345",111,"even",1.61882,1,4,"real",9.08333333333333
"18526",112,"garden",0.620055,1,6,"real",9.08333333333333
"18622",112,"then",0.821025,1,4,"real",9.08333333333333
"18645",112,"open",0.717455,1,4,"real",9.08333333333333
"18838",112,"children",0.65122,1,8,"real",9.08333333333333
"18886",112,"even",0.867855,1,4,"real",9.08333333333333
"19063",51,"garden",1.6036,0,6,"real",9.08333333333333
"19106",51,"open",1.3248,1,4,"real",9.08333333333333
"19114",51,"then",0.3364,1,4,"real",9.08333333333333
"19350",51,"even",1.2212,1,4,"real",9.08333333333333
"19354",51,"children",2.0199,1,8,"real",9.08333333333333
"19526",111,"garden",0.865195,1,6,"real",9.08333333333333
"19606",111,"then",0.98533,1,4,"real",9.08333333333333
"19674",111,"open",0.77072,1,4,"real",9.08333333333333
"19817",111,"children",0.913315,1,8,"real",9.08333333333333
"19845",111,"even",1.61882,1,4,"real",9.08333333333333
"20026",112,"garden",0.620055,1,6,"real",9.08333333333333
"20122",112,"then",0.821025,1,4,"real",9.08333333333333
"20145",112,"open",0.717455,1,4,"real",9.08333333333333
"20338",112,"children",0.65122,1,8,"real",9.08333333333333
"20386",112,"even",0.867855,1,4,"real",9.08333333333333
"20527",70,"garden",0.719525,1,6,"real",9.41666666666667
"20622",70,"then",0.851395,1,4,"real",9.41666666666667
"20698",70,"open",1.18803,1,4,"real",9.41666666666667
"20881",70,"children",0.683925,1,8,"real",9.41666666666667
"20886",70,"even",0.68535,1,4,"real",9.41666666666667
"21060",75,"garden",0.7258,1,6,"real",9.41666666666667
"21138",75,"open",0.590935,1,4,"real",9.41666666666667
"21177",75,"then",0.58781,1,4,"real",9.41666666666667
"21326",75,"children",0.66901,1,8,"real",9.41666666666667
"21352",75,"even",0.684815,1,4,"real",9.41666666666667
"21540",117,"garden",0.73037,1,6,"real",9.41666666666667
"21627",117,"then",0.703155,1,4,"real",9.41666666666667
"21661",117,"open",0.975935,1,4,"real",9.41666666666667
"21810",117,"even",0.66239,1,4,"real",9.41666666666667
"21862",117,"children",0.68807,0,8,"real",9.41666666666667
"22090",119,"garden",2.660965,1,6,"real",9.41666666666667
"22197",119,"then",1.06767,1,4,"real",9.41666666666667
"22198",119,"open",0.988335,1,4,"real",9.41666666666667
"22343",119,"even",1.35027,1,4,"real",9.41666666666667
"22394",119,"children",3.666655,1,8,"real",9.41666666666667
"22517",23,"garden",0.80438,1,6,"real",9.25
"22655",23,"open",0.93153,1,4,"real",9.25
"22676",23,"then",0.899095,1,4,"real",9.25
"22805",23,"children",0.70653,1,8,"real",9.25
"22890",23,"even",2.2932,1,4,"real",9.25
"23033",39,"garden",0.98603,1,6,"real",9.25
"23107",39,"open",0.913015,1,4,"real",9.25
"23109",39,"then",0.8506,1,4,"real",9.25
"23336",39,"even",1.670085,1,4,"real",9.25
"23352",39,"children",1.53746,1,8,"real",9.25
"23540",40,"garden",0.75337,1,6,"real",9.25
"23609",40,"then",0.6178,0,4,"real",9.25
"23643",40,"open",0.949,1,4,"real",9.25
"23810",40,"children",0.749755,1,8,"real",9.25
"23897",40,"even",0.584765,0,4,"real",9.25
"24066",84,"garden",0.97998,1,6,"real",9.25
"24137",84,"then",0.781505,1,4,"real",9.25
"24154",84,"open",0.65875,1,4,"real",9.25
"24309",84,"children",1.29074,1,8,"real",9.25
"24311",84,"even",0.78369,1,4,"real",9.25
"24511",118,"garden",0.69173,1,6,"real",9.25
"24614",118,"open",1.14831,1,4,"real",9.25
"24623",118,"then",0.85044,1,4,"real",9.25
"24817",118,"even",0.066265,1,4,"real",9.25
"24845",118,"children",0.639405,1,8,"real",9.25
"25027",70,"garden",0.719525,1,6,"real",9.41666666666667
"25122",70,"then",0.851395,1,4,"real",9.41666666666667
"25198",70,"open",1.18803,1,4,"real",9.41666666666667
"25381",70,"children",0.683925,1,8,"real",9.41666666666667
"25386",70,"even",0.68535,1,4,"real",9.41666666666667
"25560",75,"garden",0.7258,1,6,"real",9.41666666666667
"25638",75,"open",0.590935,1,4,"real",9.41666666666667
"25677",75,"then",0.58781,1,4,"real",9.41666666666667
"25826",75,"children",0.66901,1,8,"real",9.41666666666667
"25852",75,"even",0.684815,1,4,"real",9.41666666666667
"26040",117,"garden",0.73037,1,6,"real",9.41666666666667
"26127",117,"then",0.703155,1,4,"real",9.41666666666667
"26161",117,"open",0.975935,1,4,"real",9.41666666666667
"26310",117,"even",0.66239,1,4,"real",9.41666666666667
"26362",117,"children",0.68807,0,8,"real",9.41666666666667
"26590",119,"garden",2.660965,1,6,"real",9.41666666666667
"26697",119,"then",1.06767,1,4,"real",9.41666666666667
"26698",119,"open",0.988335,1,4,"real",9.41666666666667
"26843",119,"even",1.35027,1,4,"real",9.41666666666667
"26894",119,"children",3.666655,1,8,"real",9.41666666666667
"27021",72,"garden",0.802655,1,6,"real",9.33333333333333
"27134",72,"open",0.710875,0,4,"real",9.33333333333333
"27141",72,"then",1.13547,1,4,"real",9.33333333333333
"27377",72,"even",1.13489,1,4,"real",9.33333333333333
"27395",72,"children",1.050705,1,8,"real",9.33333333333333
"27553",120,"garden",0.93127,1,6,"real",9.33333333333333
"27635",120,"then",1.581665,1,4,"real",9.33333333333333
"27691",120,"open",0.88544,1,4,"real",9.33333333333333
"27870",120,"children",1.630015,1,8,"real",9.33333333333333
"27893",120,"even",2.049205,1,4,"real",9.33333333333333
"85",11,"garden",1.0955,1,6,"real",10.8333333333333
"181",11,"then",0.10913,0,4,"real",10.8333333333333
"193",11,"open",0.252895,0,4,"real",10.8333333333333
"3571",11,"even",0.33395,1,4,"real",10.8333333333333
"362",11,"children",0.922845,1,8,"real",10.8333333333333
"588",30,"garden",1.08822,1,6,"real",10.0833333333333
"615",30,"open",0.726105,1,4,"real",10.0833333333333
"662",30,"then",0.90323,1,4,"real",10.0833333333333
"817",30,"children",1.856935,1,8,"real",10.0833333333333
"886",30,"even",0.35244,0,4,"real",10.0833333333333
"1053",83,"garden",0.77967,1,6,"real",10.0833333333333
"1165",83,"open",0.85582,1,4,"real",10.0833333333333
"1195",83,"then",0.780045,1,4,"real",10.0833333333333
"1304",83,"children",0.503225,1,8,"real",10.0833333333333
"1317",83,"even",1.282245,1,4,"real",10.0833333333333
"1522",96,"garden",1.82073,1,6,"real",10.0833333333333
"1639",96,"open",0.87522,1,4,"real",10.0833333333333
"1664",96,"then",0.769915,1,4,"real",10.0833333333333
"1803",96,"even",0.80086,1,4,"real",10.0833333333333
"1877",96,"children",1.03355,1,8,"real",10.0833333333333
"2088",56,"garden",0.68476,1,6,"real",10.9166666666667
"2123",56,"open",0.76671,1,4,"real",10.9166666666667
"2129",56,"then",0.86458,1,4,"real",10.9166666666667
"2324",56,"children",1.35479,1,8,"real",10.9166666666667
"2331",56,"even",2.105715,1,4,"real",10.9166666666667
"25401",79,"garden",0.410055,1,6,"real",10.9166666666667
"2666",79,"open",0.883365,1,4,"real",10.9166666666667
"2671",79,"then",1.05917,1,4,"real",10.9166666666667
"2833",79,"children",1.484005,1,8,"real",10.9166666666667
"2891",79,"even",0.94841,1,4,"real",10.9166666666667
"3029",64,"garden",0.75371,1,6,"real",10.4166666666667
"3140",64,"open",1.17063,1,4,"real",10.4166666666667
"3143",64,"then",0.627775,1,4,"real",10.4166666666667
"3306",64,"children",0.69753,1,8,"real",10.4166666666667
"3399",64,"even",1.44701,1,4,"real",10.4166666666667
"3522",85,"garden",0.597945,1,6,"real",10.4166666666667
"3636",85,"then",0.574735,1,4,"real",10.4166666666667
"3641",85,"open",0.51497,1,4,"real",10.4166666666667
"3827",85,"even",0.731875,1,4,"real",10.4166666666667
"3857",85,"children",0.55085,1,8,"real",10.4166666666667
"4088",56,"garden",0.68476,1,6,"real",10.9166666666667
"4123",56,"open",0.76671,1,4,"real",10.9166666666667
"4129",56,"then",0.86458,1,4,"real",10.9166666666667
"4324",56,"children",1.35479,1,8,"real",10.9166666666667
"4331",56,"even",2.105715,1,4,"real",10.9166666666667
"4540",79,"garden",0.410055,1,6,"real",10.9166666666667
"4666",79,"open",0.883365,1,4,"real",10.9166666666667
"4671",79,"then",1.05917,1,4,"real",10.9166666666667
"4833",79,"children",1.484005,1,8,"real",10.9166666666667
"4891",79,"even",0.94841,1,4,"real",10.9166666666667
"5088",30,"garden",1.08822,1,6,"real",10.0833333333333
"5115",30,"open",0.726105,1,4,"real",10.0833333333333
"5162",30,"then",0.90323,1,4,"real",10.0833333333333
"5317",30,"children",1.856935,1,8,"real",10.0833333333333
"5386",30,"even",0.35244,0,4,"real",10.0833333333333
"55531",83,"garden",0.77967,1,6,"real",10.0833333333333
"5665",83,"open",0.85582,1,4,"real",10.0833333333333
"5695",83,"then",0.780045,1,4,"real",10.0833333333333
"5804",83,"children",0.503225,1,8,"real",10.0833333333333
"5817",83,"even",1.282245,1,4,"real",10.0833333333333
"6022",96,"garden",1.82073,1,6,"real",10.0833333333333
"6139",96,"open",0.87522,1,4,"real",10.0833333333333
"6164",96,"then",0.769915,1,4,"real",10.0833333333333
"6303",96,"even",0.80086,1,4,"real",10.0833333333333
"6377",96,"children",1.03355,1,8,"real",10.0833333333333
"6529",64,"garden",0.75371,1,6,"real",10.4166666666667
"6640",64,"open",1.17063,1,4,"real",10.4166666666667
"6643",64,"then",0.627775,1,4,"real",10.4166666666667
"6806",64,"children",0.69753,1,8,"real",10.4166666666667
"68991",64,"even",1.44701,1,4,"real",10.4166666666667
"7022",85,"garden",0.597945,1,6,"real",10.4166666666667
"7136",85,"then",0.574735,1,4,"real",10.4166666666667
"7141",85,"open",0.51497,1,4,"real",10.4166666666667
"7327",85,"even",0.731875,1,4,"real",10.4166666666667
"73571",85,"children",0.55085,1,8,"real",10.4166666666667
"7588",30,"garden",1.08822,1,6,"real",10.0833333333333
"7615",30,"open",0.726105,1,4,"real",10.0833333333333
"7662",30,"then",0.90323,1,4,"real",10.0833333333333
"7817",30,"children",1.856935,1,8,"real",10.0833333333333
"7886",30,"even",0.35244,0,4,"real",10.0833333333333
"8053",83,"garden",0.77967,1,6,"real",10.0833333333333
"8165",83,"open",0.85582,1,4,"real",10.0833333333333
"8195",83,"then",0.780045,1,4,"real",10.0833333333333
"8304",83,"children",0.503225,1,8,"real",10.0833333333333
"8317",83,"even",1.282245,1,4,"real",10.0833333333333
"8522",96,"garden",1.82073,1,6,"real",10.0833333333333
"8639",96,"open",0.87522,1,4,"real",10.0833333333333
"8664",96,"then",0.769915,1,4,"real",10.0833333333333
"8803",96,"even",0.80086,1,4,"real",10.0833333333333
"8877",96,"children",1.03355,1,8,"real",10.0833333333333
"9020",8,"garden",1.32248,1,6,"real",10.25
"9166",8,"then",0.61066,0,4,"real",10.25
"9192",8,"open",0.77345,1,4,"real",10.25
"9376",8,"children",1.163595,1,8,"real",10.25
"9390",8,"even",1.14731,1,4,"real",10.25
"9557",65,"garden",0.58332,1,6,"real",10.25
"9622",65,"open",0.77011,1,4,"real",10.25
"9634",65,"then",0.56133,0,4,"real",10.25
"9846",65,"even",1.177855,1,4,"real",10.25
"9885",65,"children",0.334945,0,8,"real",10.25
"10096",110,"garden",0.6986,1,6,"real",10.25
"10122",110,"open",0.74999,1,4,"real",10.25
"10192",110,"then",0.725735,1,4,"real",10.25
"10330",110,"children",1.027365,1,8,"real",10.25
"10374",110,"even",0.38051,0,4,"real",10.25
