"","subj","word","rt","acc","wordLength","realpseudo","visit_age"
"9001",22,"baafness",14.179765,1,8,"pseudo",8.16666666666667
"9002",22,"stop",1.9233,1,4,"real",8.16666666666667
"9003",22,"seashell",2.701725,1,8,"real",8.16666666666667
"9004",22,"idthepiates",1.436195,1,11,"pseudo",8.16666666666667
"9005",22,"roder",3.700795,1,5,"pseudo",8.16666666666667
"9006",22,"tice",1.58456,1,4,"pseudo",8.16666666666667
"9007",22,"speveal",1.60096,0,7,"pseudo",8.16666666666667
"9008",22,"fattify",1.294825,1,7,"pseudo",8.16666666666667
"9009",22,"appropriates",3.237045,0,12,"real",8.16666666666667
"9010",22,"we",1.93758,1,2,"real",8.16666666666667
"9011",22,"imagine",1.05681,1,7,"real",8.16666666666667
"9012",22,"kind",0.94498,1,4,"real",8.16666666666667
"9013",22,"strange",2.60677,1,7,"real",8.16666666666667
"9014",22,"answer",1.081715,1,6,"real",8.16666666666667
"9015",22,"bangs",2.09219,1,5,"real",8.16666666666667
"9016",22,"imeyits",2.0094,0,7,"pseudo",8.16666666666667
"9017",22,"warpen",2.051785,1,6,"pseudo",8.16666666666667
"9018",22,"contain",1.1353,1,7,"real",8.16666666666667
"9019",22,"immiterise",1.15122,1,10,"pseudo",8.16666666666667
"9020",22,"doubtful",1.17158,1,8,"real",8.16666666666667
"9021",22,"ancrusinishness",1.370495,1,15,"pseudo",8.16666666666667
"9022",22,"fimp",1.180195,1,4,"pseudo",8.16666666666667
"9023",22,"distance",1.078485,1,8,"real",8.16666666666667
"9024",22,"mun",4.51509,1,3,"pseudo",8.16666666666667
"9025",22,"swane",2.335355,0,5,"pseudo",8.16666666666667
"9026",22,"dooseful",2.10271,1,8,"pseudo",8.16666666666667
"9027",22,"oenc",1.283425,1,4,"pseudo",8.16666666666667
"9028",22,"sun",0.86046,1,3,"real",8.16666666666667
"9029",22,"wndo",1.39566,1,4,"pseudo",8.16666666666667
"9030",22,"plane",0.969685,1,5,"real",8.16666666666667
"9031",22,"fite",1.433795,1,4,"pseudo",8.16666666666667
"9032",22,"time",1.14399,1,4,"real",8.16666666666667
"9033",22,"jewel",1.26679,1,5,"real",8.16666666666667
"9034",22,"ston",2.26734,1,4,"pseudo",8.16666666666667
"9035",22,"him",1.37377,1,3,"real",8.16666666666667
"9036",22,"vosery",1.31694,1,6,"pseudo",8.16666666666667
"9037",22,"stamp",1.250745,1,5,"real",8.16666666666667
"9038",22,"collapse",1.02452,1,8,"real",8.16666666666667
"9039",22,"arsher",1.95285,1,6,"pseudo",8.16666666666667
"9040",22,"molk",2.006045,1,4,"pseudo",8.16666666666667
"9041",22,"nop",1.8626,1,3,"pseudo",8.16666666666667
"9042",22,"seadrill",1.69956,0,8,"pseudo",8.16666666666667
"9043",22,"see",1.6346,1,3,"real",8.16666666666667
"9044",22,"find",0.76902,1,4,"real",8.16666666666667
"9045",22,"arm",0.782205,1,3,"real",8.16666666666667
"9046",22,"land",1.321655,1,4,"real",8.16666666666667
"9047",22,"runey",1.554255,1,5,"pseudo",8.16666666666667
"9048",22,"going",0.870905,1,5,"real",8.16666666666667
"9049",22,"stass",1.28309,1,5,"pseudo",8.16666666666667
"9050",22,"distides",1.72507,1,8,"pseudo",8.16666666666667
"9051",22,"money",1.4547,1,5,"real",8.16666666666667
"9052",22,"jixel",1.19521,1,5,"pseudo",8.16666666666667
"9053",22,"hom",1.233545,1,3,"pseudo",8.16666666666667
"9054",22,"stail",1.38499,0,5,"pseudo",8.16666666666667
"9055",22,"library",2.983525,1,7,"real",8.16666666666667
"9056",22,"han",2.588455,1,3,"pseudo",8.16666666666667
"9057",22,"stain",0.81109,1,5,"real",8.16666666666667
"9058",22,"lant",1.369115,1,4,"pseudo",8.16666666666667
"9059",22,"man",0.751645,1,3,"real",8.16666666666667
"9060",22,"strarms",0.9343,1,7,"pseudo",8.16666666666667
"9061",22,"special",0.75411,1,7,"real",8.16666666666667
"9062",22,"hitter",1.64218,1,6,"pseudo",8.16666666666667
"9063",22,"testify",0.917275,0,7,"real",8.16666666666667
"9064",22,"napery",1.694375,0,6,"real",8.16666666666667
"9065",22,"de",1.4992,1,2,"pseudo",8.16666666666667
"9066",22,"and",1.02389,1,3,"real",8.16666666666667
"9067",22,"rebosks",1.300865,1,7,"pseudo",8.16666666666667
"9068",22,"cow",0.80107,1,3,"real",8.16666666666667
"9069",22,"ggnoi",1.27796,1,5,"pseudo",8.16666666666667
"9070",22,"garden",0.93295,1,6,"real",8.16666666666667
"9071",22,"me",0.92537,1,2,"real",8.16666666666667
"9072",22,"milk",1.0695,1,4,"real",8.16666666666667
"9073",22,"down",1.533305,1,4,"real",8.16666666666667
"9074",22,"river",0.82371,1,5,"real",8.16666666666667
"9075",22,"ees",1.268145,1,3,"pseudo",8.16666666666667
"9076",22,"once",0.975245,1,4,"real",8.16666666666667
"9077",22,"fish",1.090995,1,4,"real",8.16666666666667
"9078",22,"cok",1.39857,1,3,"pseudo",8.16666666666667
"9079",22,"acquisitiveness",1.29172,0,15,"real",8.16666666666667
"9080",22,"alk",1.940275,1,3,"pseudo",8.16666666666667
"9081",22,"fatter",1.54224,1,6,"real",8.16666666666667
"9082",22,"pame",1.38189,0,4,"pseudo",8.16666666666667
"9083",22,"impoverish",1.20298,0,10,"real",8.16666666666667
"9084",22,"part",1.443765,1,4,"real",8.16666666666667
"9085",22,"wared",1.23266,0,5,"pseudo",8.16666666666667
"9086",22,"resolve",1.068715,1,7,"real",8.16666666666667
"9087",22,"bawed",1.32363,1,5,"pseudo",8.16666666666667
"9088",22,"wass",1.23465,1,4,"pseudo",8.16666666666667
"9089",22,"nap",1.251235,1,3,"real",8.16666666666667
"9090",22,"collosks",1.21982,1,8,"pseudo",8.16666666666667
"9091",22,"te",1.037395,1,2,"pseudo",8.16666666666667
"9092",22,"kile",0.982475,1,4,"pseudo",8.16666666666667
"9093",22,"left",0.91691,1,4,"real",8.16666666666667
"9094",22,"fistory",1.215455,1,7,"pseudo",8.16666666666667
"9095",22,"ways",0.84834,1,4,"real",8.16666666666667
"9096",22,"ase",2.338055,1,3,"pseudo",8.16666666666667
"9097",22,"waves",1.35264,0,5,"real",8.16666666666667
"9098",22,"business",0.98701,1,8,"real",8.16666666666667
"9099",22,"leld",1.22121,1,4,"pseudo",8.16666666666667
"9100",22,"contive",1.320475,1,7,"pseudo",8.16666666666667
"9101",22,"cowboy",3.05751,1,6,"real",8.16666666666667
"9102",22,"shoes",1.67025,1,5,"real",8.16666666666667
"9103",22,"quen",1.406855,1,4,"pseudo",8.16666666666667
"9104",22,"light",1.14107,1,5,"real",8.16666666666667
"9105",22,"totoseneian",1.05585,1,11,"pseudo",8.16666666666667
"9106",22,"trood",1.368855,1,5,"pseudo",8.16666666666667
"9107",22,"rescets",1.06953,1,7,"pseudo",8.16666666666667
"9108",22,"recorse",1.19873,0,7,"pseudo",8.16666666666667
"9109",22,"power",1.257,1,5,"real",8.16666666666667
"9110",22,"jump",1.290665,1,4,"real",8.16666666666667
"9111",22,"tha",1.01523,1,3,"pseudo",8.16666666666667
"9112",22,"mpju",1.06454,1,4,"pseudo",8.16666666666667
"9113",22,"knead",1.220255,0,5,"real",8.16666666666667
"9114",22,"open",1.230895,1,4,"real",8.16666666666667
"9115",22,"moop",0.58904,0,4,"pseudo",8.16666666666667
"9116",22,"finally",1.051165,1,7,"real",8.16666666666667
"9117",22,"oban",1.12109,1,4,"pseudo",8.16666666666667
"9118",22,"inside",0.755335,1,6,"real",8.16666666666667
"9119",22,"brush",1.420285,1,5,"real",8.16666666666667
"9120",22,"che",1.265995,1,3,"pseudo",8.16666666666667
"9121",22,"timelly",5.43489,1,7,"pseudo",8.16666666666667
"9122",22,"twew",2.0896,1,4,"pseudo",8.16666666666667
"9123",22,"lost",0.74118,1,4,"real",8.16666666666667
"9124",22,"serning",1.78952,1,7,"pseudo",8.16666666666667
"9125",22,"cag",1.2753,1,3,"pseudo",8.16666666666667
"9126",22,"morning",1.732815,1,7,"real",8.16666666666667
"9127",22,"number",2.43788,1,6,"real",8.16666666666667
"9128",22,"car",15.20026,1,3,"real",8.16666666666667
"9129",22,"could",1.96703,1,5,"real",8.16666666666667
"9130",22,"wread",2.71318,1,5,"pseudo",8.16666666666667
"9131",22,"jostile",1.03124,1,7,"pseudo",8.16666666666667
"9132",22,"almost",0.8203,1,6,"real",8.16666666666667
"9133",22,"tascer",0.99484,1,6,"pseudo",8.16666666666667
"9134",22,"arf",1.2592,1,3,"pseudo",8.16666666666667
"9135",22,"must",0.98297,1,4,"real",8.16666666666667
"9136",22,"ypla",1.046625,1,4,"pseudo",8.16666666666667
"9137",22,"sholt",18.16911,1,5,"pseudo",8.16666666666667
"9138",22,"air",4.662015,1,3,"real",8.16666666666667
"9139",22,"inni",1.35519,1,4,"pseudo",8.16666666666667
"9140",22,"loms",1.08784,1,4,"pseudo",8.16666666666667
"9141",22,"molent",1.11646,1,6,"pseudo",8.16666666666667
"9142",22,"tried",0.822385,1,5,"real",8.16666666666667
"9143",22,"charring",1.739155,0,8,"real",8.16666666666667
"9144",22,"brubs",1.236905,1,5,"pseudo",8.16666666666667
"9145",22,"fasees",1.27219,0,6,"pseudo",8.16666666666667
"9146",22,"congusozation",1.54164,1,13,"pseudo",8.16666666666667
"9147",22,"the",1.139715,1,3,"real",8.16666666666667
"9148",22,"brought",0.90977,0,7,"real",8.16666666666667
"9149",22,"short",1.59894,1,5,"real",8.16666666666667
"9150",22,"garment",2.784095,0,7,"real",8.16666666666667
"9151",22,"os",1.99918,1,2,"pseudo",8.16666666666667
"9152",22,"of",0.9184,1,2,"real",8.16666666666667
"9153",22,"accustomed",1.06615,0,10,"real",8.16666666666667
"9154",22,"hust",1.398675,1,4,"pseudo",8.16666666666667
"9155",22,"clought",1.13736,1,7,"pseudo",8.16666666666667
"9156",22,"strong",0.705145,1,6,"real",8.16666666666667
"9157",22,"repress",1.399285,1,7,"real",8.16666666666667
"9158",22,"then",0.799715,1,4,"real",8.16666666666667
"9159",22,"sildal",0.867085,1,6,"pseudo",8.16666666666667
"9160",22,"new",0.714345,1,3,"real",8.16666666666667
"9161",22,"accastanct",1.07745,1,10,"pseudo",8.16666666666667
"9162",22,"nurger",0.880755,1,6,"pseudo",8.16666666666667
"9163",22,"she",1.582385,1,3,"real",8.16666666666667
"9164",22,"potent",0.84995,0,6,"real",8.16666666666667
"9165",22,"insows",1.612865,1,6,"pseudo",8.16666666666667
"9166",22,"med",1.073325,1,3,"pseudo",8.16666666666667
"9167",22,"liffs",1.586765,1,5,"pseudo",8.16666666666667
"9168",22,"sould",1.462295,1,5,"pseudo",8.16666666666667
"9169",22,"no",1.00553,1,2,"real",8.16666666666667
"9170",22,"fine",0.765125,1,4,"real",8.16666666666667
"9171",22,"vesural",1.115215,0,7,"pseudo",8.16666666666667
"9172",22,"live",0.63616,0,4,"real",8.16666666666667
"9173",22,"vlei",0.58284,0,4,"pseudo",8.16666666666667
"9174",22,"pumer",1.699635,0,5,"pseudo",8.16666666666667
"9175",22,"play",1.013995,1,4,"real",8.16666666666667
"9176",22,"albust",1.178705,0,6,"pseudo",8.16666666666667
"9177",22,"sheas",1.109675,1,5,"pseudo",8.16666666666667
"9178",22,"na",0.89079,1,2,"pseudo",8.16666666666667
"9179",22,"lame",15.43565,1,4,"real",8.16666666666667
"9180",22,"reverse",1.35242,1,7,"real",8.16666666666667
"9181",22,"chanding",1.31853,1,8,"pseudo",8.16666666666667
"9182",22,"justice",1.10846,1,7,"real",8.16666666666667
"9183",22,"signal",0.74305,1,6,"real",8.16666666666667
"9184",22,"homogeneous",0.938405,0,11,"real",8.16666666666667
"9185",22,"garbant",1.704915,0,7,"pseudo",8.16666666666667
"9186",22,"father",0.96922,1,6,"real",8.16666666666667
"9187",22,"natural",1.199595,1,7,"real",8.16666666666667
"9188",22,"strosh",0.88248,0,6,"pseudo",8.16666666666667
"9189",22,"lape",1.120325,0,4,"pseudo",8.16666666666667
"9190",22,"ot",1.367715,1,2,"pseudo",8.16666666666667
"9191",22,"moon",0.917795,1,4,"real",8.16666666666667
"9192",22,"configuration",4.76615,0,13,"real",8.16666666666667
"9193",22,"red",17.83977,1,3,"real",8.16666666666667
"9194",22,"naw",1.238325,1,3,"pseudo",8.16666666666667
"9195",22,"knew",0.984095,1,4,"real",8.16666666666667
"9196",22,"is",0.969775,1,2,"real",8.16666666666667
"9197",22,"fing",2.64014,1,4,"pseudo",8.16666666666667
"9198",22,"famous",1.345795,1,6,"real",8.16666666666667
"9199",22,"into",1.13292,1,4,"real",8.16666666666667
"9200",22,"cowbim",1.60484,1,6,"pseudo",8.16666666666667
"9201",22,"again",1.50994,1,5,"real",8.16666666666667
"9202",22,"utashing",0.78229,1,8,"pseudo",8.16666666666667
"9203",22,"beller",0.9057,1,6,"pseudo",8.16666666666667
"9204",22,"upending",1.42278,0,8,"real",8.16666666666667
"9205",22,"bone",0.75016,1,4,"real",8.16666666666667
"9206",22,"bove",1.275555,1,4,"pseudo",8.16666666666667
"9207",22,"asca",0.90102,1,4,"pseudo",8.16666666666667
"9208",22,"two",0.73453,1,3,"real",8.16666666666667
"9209",22,"underchime",0.75578,1,10,"pseudo",8.16666666666667
"9210",22,"work",0.63045,1,4,"real",8.16666666666667
"9211",22,"clomify",1.07118,1,7,"pseudo",8.16666666666667
"9212",22,"wirtoul",0.809435,1,7,"pseudo",8.16666666666667
"9213",22,"hu",0.71802,1,2,"pseudo",8.16666666666667
"9214",22,"snose",0.907635,0,5,"pseudo",8.16666666666667
"9215",22,"understand",4.949715,1,10,"real",8.16666666666667
"9216",22,"elements",1.12501,0,8,"real",8.16666666666667
"9217",22,"dood",0.8047,0,4,"pseudo",8.16666666666667
"9218",22,"fave",1.15328,1,4,"pseudo",8.16666666666667
"9219",22,"dag",0.80664,1,3,"pseudo",8.16666666666667
"9220",22,"telechinct",0.77881,1,10,"pseudo",8.16666666666667
"9221",22,"sphere",0.62575,0,6,"real",8.16666666666667
"9222",22,"mader",1.698255,0,5,"pseudo",8.16666666666667
"9223",22,"thank",1.29243,1,5,"real",8.16666666666667
"9224",22,"describe",1.435425,1,8,"real",8.16666666666667
"9225",22,"paper",0.76602,1,5,"real",8.16666666666667
"9226",22,"able",0.949155,1,4,"real",8.16666666666667
"9227",22,"etecants",2.9246,1,8,"pseudo",8.16666666666667
"9228",22,"telescoped",1.20745,1,10,"real",8.16666666666667
"9229",22,"dog",3.28261,1,3,"real",8.16666666666667
"9230",22,"cat",0.83569,1,3,"real",8.16666666666667
"9231",22,"investigate",0.964795,1,11,"real",8.16666666666667
"9232",22,"slace",1.153955,1,5,"pseudo",8.16666666666667
"9233",22,"them",0.63477,1,4,"real",8.16666666666667
"9234",22,"an",0.6431,0,2,"real",8.16666666666667
"9235",22,"permanency",2.964965,0,10,"real",8.16666666666667
"9236",22,"budget",1.32704,1,6,"real",8.16666666666667
"9237",22,"daople",1.254725,1,6,"pseudo",8.16666666666667
"9238",22,"ablood",1.814775,1,6,"pseudo",8.16666666666667
"9239",22,"pon",2.32324,1,3,"pseudo",8.16666666666667
"9240",22,"yos",1.13657,1,3,"pseudo",8.16666666666667
"9241",22,"bads",0.90911,0,4,"pseudo",8.16666666666667
"9242",22,"wood",1.016005,1,4,"real",8.16666666666667
"9243",22,"besime",0.78513,1,6,"pseudo",8.16666666666667
"9244",22,"hammer",0.961235,1,6,"real",8.16666666666667
