"","words","a","b","g","u"
"139","describe",1,-0.953564281502805,0.5,1
"140","brubs",1,-0.927050585157853,0.5,1
"141","besime",1,-0.923591593529362,0.5,1
"142","cowbim",1,-0.913264879332381,0.5,1
"143","hus",1,-0.912654593473747,0.5,1
"144","idthepiates",1,-0.880302099674223,0.5,1
"145","famous",1,-0.876862286627201,0.5,1
"146","alipol",1,-0.860270150691358,0.5,1
"147","thantboard",1,-0.856892427066799,0.5,1
"148","hect",1,-0.814093417097888,0.5,1
"149","sildal",1,-0.792331964788511,0.5,1
"150","nied",1,-0.779371028217524,0.5,1
"151","compliment",1,-0.765847470298799,0.5,1
"152","cotosks",1,-0.706518562996379,0.5,1
"153","pencil",1,-0.689275685261007,0.5,1
"154","purchase",1,-0.680325456204234,0.5,1
"155","lant",1,-0.679664889677514,0.5,1
"156","crovel",1,-0.667316480220924,0.5,1
"157","hom",1,-0.665845210923932,0.5,1
"158","short",1,-0.665376035438153,0.5,1
"159","leald",1,-0.655273161154999,0.5,1
"160","nop",1,-0.654457254866546,0.5,1
"161","scays",1,-0.638074059055409,0.5,1
"162","flankfopper",1,-0.636753420938311,0.5,1
"163","grat",1,-0.636348715107642,0.5,1
"164","fireer",1,-0.628503133874074,0.5,1
"165","went",1,-0.62534235063683,0.5,1
"166","ston",1,-0.615322741359178,0.5,1
"167","holily",1,-0.610740266143552,0.5,1
"168","etecants",1,-0.60022831588999,0.5,1
"169","grasshopper",1,-0.590392362280836,0.5,1
"170","ther",1,-0.536873312246389,0.5,1
"171","bledge",1,-0.519348715764863,0.5,1
"172","cotplicant",1,-0.518060968283323,0.5,1
"173","congusozation",1,-0.508883313733595,0.5,1
"174","cas",1,-0.496346373048797,0.5,1
"175","custom",1,-0.483444898872218,0.5,1
"176","shine",1,-0.482229989648258,0.5,1
"177","blans",1,-0.479772444891352,0.5,1
"178","contain",1,-0.460263214823961,0.5,1
"179","toy",1,-0.442637158098807,0.5,1
"180","drustion",1,-0.441288924105748,0.5,1
"181","bangs",1,-0.413931281323686,0.5,1
"182","germantia",1,-0.396926990642275,0.5,1
"183","hane",1,-0.334517651281541,0.5,1
"184","crit",1,-0.329907404304165,0.5,1
"185","liberty",1,-0.329282796165538,0.5,1
"186","ase",1,-0.329190746568213,0.5,1
"187","gravel",1,-0.327792939347038,0.5,1
"188","albust",1,-0.298236587503296,0.5,1
"189","baafness",1,-0.291995811277339,0.5,1
"190","distance",1,-0.28973461007894,0.5,1
"191","sint",1,-0.275642229467465,0.5,1
"192","speveal",1,-0.273750845374043,0.5,1
"193","budget",1,-0.263410530742278,0.5,1
"194","sudsage",1,-0.258988002946604,0.5,1
"195","collosks",1,-0.217066941014066,0.5,1
"196","goud",1,-0.205053722501711,0.5,1
"197","fimp",1,-0.204905812315022,0.5,1
"198","tice",1,-0.198042955172645,0.5,1
"199","arsher",1,-0.188146985595276,0.5,1
"200","bove",1,-0.184006962934626,0.5,1
"201","slace",1,-0.139090951746381,0.5,1
"202","warpen",1,-0.129339564347838,0.5,1
"203","tate",1,-0.121423161952368,0.5,1
"204","bere",1,-0.114956550337522,0.5,1
"205","strosh",1,-0.0996740057772819,0.5,1
"206","hube",1,-0.071339160265562,0.5,1
"207","elements",1,-0.0599009790096703,0.5,1
"208","mout",1,-0.0509077247367555,0.5,1
"209","woft",1,-0.0491524724523856,0.5,1
"210","molent",1,-0.0424311994322296,0.5,1
"211","bulbet",1,-0.0195781138451431,0.5,1
"212","mich",1,-0.0180089351257239,0.5,1
"213","loak",1,-0.00674250124707268,0.5,1
"214","jewel",1,0.00695898404036978,0.5,1
"215","inpant",1,0.0143239558239044,0.5,1
"216","wawed",1,0.019688943223431,0.5,1
"217","pame",1,0.0479328592163555,0.5,1
