"","words","a","b","g","u"
"111","idthepiates",1.77873327890404,-1.13746295661545,0.5,1
"112","phlere",2.95503201795988,-1.13300506304403,0.5,1
"113","clomify",2.62415051162928,-1.13068675793361,0.5,1
"114","mystery",2.05556178242676,-1.12912092088447,0.5,1
"115","toy",1.18832370058236,-1.1206427671604,0.5,1
"116","history",2.84165924219782,-1.11256408009557,0.5,1
"117","duttery",1.9010630346906,-1.11145497122432,0.5,1
"118","waves",2.10130518549388,-1.09665218572553,0.5,1
"119","dag",3.06456829821859,-1.09567589485922,0.5,1
"120","insows",4.40048538215236,-1.0856545438014,0.5,1
"121","building",3.58143718297358,-1.08337018387244,0.5,1
"122","hammer",3.14282677873798,-1.06893511928909,0.5,1
"123","fawerty",2.43368826327391,-1.06502468108085,0.5,1
"124","flankfopper",1.63321000372729,-1.0609972208263,0.5,1
"125","brubs",2.128796750528,-1.05351579254416,0.5,1
"126","cowbim",2.093081083697,-1.05140753576695,0.5,1
"127","hube",0.969270290581313,-1.05097668541751,0.5,1
"128","famous",2.03984281528334,-1.04881899463932,0.5,1
"129","reverse",2.65314814152051,-1.04230192349038,0.5,1
"130","liberty",1.2258536021966,-1.03421942043578,0.5,1
"131","question",2.81747918292687,-1.03318896835209,0.5,1
"132","pencil",1.79813592052419,-1.01817348389022,0.5,1
"133","wews",5.38774620922557,-1.00261088103232,0.5,1
"134","etecants",1.68134118833442,-1.00245535072791,0.5,1
"135","baafness",1.2279878920374,-0.984940024866292,0.5,1
"136","collosks",1.26874458807094,-0.982385018844734,0.5,1
"137","answer",4.45049250052702,-0.981758659810052,0.5,1
"138","brought",3.42114955690842,-0.981402853292484,0.5,1
"139","begin",3.44758188607591,-0.978257380103119,0.5,1
"140","slellen",5.54016728631806,-0.977316773650141,0.5,1
"141","wirtoul",3.16242434103565,-0.970210807833485,0.5,1
"142","gravel",1.47689909403571,-0.967593918814896,0.5,1
"143","lant",1.97896208609681,-0.966987812864414,0.5,1
"144","business",3.14634129220335,-0.957103993429201,0.5,1
"145","fasees",3.45369057033567,-0.955286779626488,0.5,1
"146","ston",1.96258993727737,-0.955167524997527,0.5,1
"147","benon",4.09947915496316,-0.955134913423508,0.5,1
"148","albust",1.32927689030326,-0.94907915546795,0.5,1
"149","losh",3.55517864777468,-0.945914155149147,0.5,1
"150","cuppom",4.93875626367679,-0.942360493116424,0.5,1
"151","nuder",4.81993026647141,-0.938671144402369,0.5,1
"152","oban",4.33949752802623,-0.935207191753265,0.5,1
"153","compliment",2.7662243499351,-0.909065643316837,0.5,1
"154","hom",2.33109688200449,-0.904361767856323,0.5,1
"155","describe",3.41999864770346,-0.902704928096756,0.5,1
"156","nop",2.29730144551538,-0.898153977811933,0.5,1
"157","custom",1.97774386361738,-0.890790937300915,0.5,1
"158","thantboard",3.10674718982982,-0.882231148546546,0.5,1
"159","sildal",3.84296004037033,-0.842712993082983,0.5,1
"160","alipol",3.90685282985903,-0.838614880302431,0.5,1
"161","molent",1.25280375671477,-0.826865025723502,0.5,1
"162","nied",3.87010752407049,-0.82313008288165,0.5,1
"163","crit",1.88877932250247,-0.823016405733361,0.5,1
"164","bledge",2.53331338978259,-0.821552660872868,0.5,1
"165","bangs",2.12830467590702,-0.813568444340989,0.5,1
"166","fireer",3.35766167332526,-0.812561856007086,0.5,1
"167","unger",6.84217266091095,-0.812176879546175,0.5,1
"168","hus",6.03066298778879,-0.811941381862222,0.5,1
"169","leald",3.54877871293019,-0.806339203429449,0.5,1
"170","ase",2.04775949332259,-0.803122371149068,0.5,1
"171","beeltisul",7.20965970556155,-0.800301954419379,0.5,1
"172","destrifs",5.50533218541961,-0.795688989024226,0.5,1
"173","besime",7.21074517313517,-0.791509965205432,0.5,1
"174","contain",2.52514609224049,-0.790071717764331,0.5,1
"175","ancrusinishness",1.13457884144515,-0.787761035737217,0.5,1
"176","shine",3.00379081617143,-0.766212043469943,0.5,1
"177","hencory",13.9896173624856,-0.765449035424838,0.5,1
"178","ther",4.46463141973625,-0.757403928477999,0.5,1
"179","grat",4.17019975872971,-0.75618909623963,0.5,1
"180","piscil",8.68245280955216,-0.75500466661226,0.5,1
"181","cas",3.16839830081779,-0.749029427237257,0.5,1
"182","scays",4.23967448928719,-0.748573211724354,0.5,1
"183","hect",6.71140114310249,-0.735491632049681,0.5,1
"184","holily",5.22609885230496,-0.734653470146668,0.5,1
"185","crovel",6.55584614792887,-0.733441099866954,0.5,1
"186","blans",4.82690793943963,-0.72724290840357,0.5,1
"187","cotplicant",3.68426812678592,-0.725989684009372,0.5,1
"188","mannanency",0.987246291232337,-0.718659112814995,0.5,1
"189","fattify",1.0580050645306,-0.711990951504349,0.5,1
"190","purchase",6.76989923250725,-0.691375464191946,0.5,1
"191","loak",1.67690168096923,-0.686628979697085,0.5,1
"192","grasshopper",6.99065117648901,-0.685813472065753,0.5,1
"193","bulbet",2.0226079961717,-0.683589810435804,0.5,1
"194","hane",4.06390292376864,-0.675249577001388,0.5,1
"195","budget",3.52838355460053,-0.671903183355282,0.5,1
"196","bove",3.53340403075298,-0.668387855793407,0.5,1
"197","elements",2.43302151072828,-0.66427386887456,0.5,1
"198","distance",3.92003440297605,-0.660592080281415,0.5,1
"199","telechinct",1.4217980381849,-0.656702628900764,0.5,1
"200","fimp",4.46834343594202,-0.65595479378129,0.5,1
"201","drustion",4.81154530229882,-0.655093025904241,0.5,1
"202","sint",4.57235120873009,-0.64831368216457,0.5,1
"203","strosh",2.84806781084474,-0.647572863242756,0.5,1
"204","tice",3.21288564108329,-0.644655654415949,0.5,1
"205","speveal",4.33298950793676,-0.641072901990136,0.5,1
"206","goud",7.20618917579161,-0.636259794293452,0.5,1
"207","arsher",3.49772550287466,-0.635990495196664,0.5,1
"208","cotosks",25.056416895094,-0.635752294682715,0.5,1
"209","an",1.30282192977489,-0.634517446028976,0.5,1
"210","inpant",2.23738928719968,-0.633752705279039,0.5,1
"211","warpen",3.35745120003013,-0.633629824840524,0.5,1
"212","bere",3.84637525559046,-0.630596853330411,0.5,1
"213","sudsage",4.15988218627335,-0.626471096963341,0.5,1
"214","woft",3.08701531134165,-0.616412617760467,0.5,1
"215","tate",3.8773901734082,-0.613671757440724,0.5,1
"216","wawed",2.26010232468311,-0.613361610581123,0.5,1
"217","leld",2.53892199103652,-0.594818155649472,0.5,1
"218","pame",3.75348732697219,-0.582294611596833,0.5,1
"219","wase",30.7369795710804,-0.575971383198799,0.5,1
"220","slace",31.9146425343481,-0.570161284353775,0.5,1
"221","jewel",3.72801843822923,-0.563656240343766,0.5,1
"222","mich",6.95587974535066,-0.561991498742079,0.5,1
"223","ablood",2.35474869082827,-0.55938774096226,0.5,1
"224","runey",3.29379070642165,-0.557468017858028,0.5,1
"225","shring",5.17878781061484,-0.555352037375907,0.5,1
"226","vesural",1.79234784252255,-0.55434890883699,0.5,1
"227","han",3.41150090043541,-0.547985968442457,0.5,1
"228","mout",8.64744416163879,-0.53619111744559,0.5,1
"229","hadder",6.77836137671455,-0.532485785110864,0.5,1
"230","gaian",2.38638684396517,-0.532194774836341,0.5,1
"231","resolve",7.15700533859704,-0.531750497698067,0.5,1
"232","distides",1.71712343630338,-0.524006158535418,0.5,1
"233","hant",3.63197992257606,-0.519214991753761,0.5,1
"234","naw",3.24501886903985,-0.515956775678586,0.5,1
"235","trull",5.21169835206049,-0.514224541896181,0.5,1
"236","charks",8.18120563594178,-0.511506967159558,0.5,1
"237","banny",7.37257393638842,-0.509573651994999,0.5,1
"238","spoll",7.77312083097083,-0.500770069646367,0.5,1
"239","investigate",8.36007822059021,-0.479942801927827,0.5,1
"240","freat",4.09311617356237,-0.478557764433876,0.5,1
"241","groon",3.72155761266875,-0.474022177515049,0.5,1
"242","fite",13.8968829068329,-0.458898275407631,0.5,1
"243","liffs",4.96254786281271,-0.43268183135158,0.5,1
"244","sids",6.71800288944079,-0.431285063892935,0.5,1
"245","coth",7.4576596410211,-0.427052883219385,0.5,1
"246","roder",3.26665715182611,-0.395699910627825,0.5,1
"247","doubtful",6.88188483823616,-0.392211577399454,0.5,1
"248","fistory",3.37689039500968,-0.386901254043811,0.5,1
"249","pealt",1.26886316205843,-0.364153281780313,0.5,1
"250","trood",2.31614616299529,-0.360176953225585,0.5,1
"251","garbant",2.54184790045298,-0.351627444423766,0.5,1
"252","moop",1.40965374649852,-0.347238020400571,0.5,1
"253","strarms",5.42277866863029,-0.333465134717824,0.5,1
"254","purshare",3.77742916319123,-0.317611353826685,0.5,1
"255","beller",4.15266523575349,-0.310829352284649,0.5,1
"256","creat",5.35148275686532,-0.298367155136877,0.5,1
"257","overtruan",3.69973443244769,-0.291517425942657,0.5,1
"258","configuration",7.48220096249191,-0.290050335310532,0.5,1
"259","lape",3.48108501516717,-0.287542772544056,0.5,1
"260","pledge",5.81556693424753,-0.274686007389325,0.5,1
"261","rescets",4.09214720799637,-0.273292902319311,0.5,1
"262","wread",2.67654231707454,-0.273139647045274,0.5,1
"263","testify",12.0532662546731,-0.261114565496429,0.5,1
"264","soth",3.45908405387031,-0.244784996302101,0.5,1
"265","immiterise",1.14571481072274,-0.238551015244078,0.5,1
"266","qualify",4.28777639034138,-0.235822022711299,0.5,1
"267","invent",1.31589816471337,-0.219702360962754,0.5,1
"268","mistive",3.4485672518024,-0.209795819020172,0.5,1
"269","guarantee",5.03963199644621,-0.204318155029073,0.5,1
"270","contive",2.5272855876381,-0.191281304358104,0.5,1
"271","sain",5.21102653549515,-0.181822367593101,0.5,1
"272","dryer",2.55368265351266,-0.170756924297732,0.5,1
"273","serning",1.29404351056805,-0.102613063995146,0.5,1
"274","swane",2.1090851934545,-0.0853848719565824,0.5,1
"275","fave",2.88733261026061,-0.0811648544108572,0.5,1
"276","hust",5.81634444507767,-0.0734647119630165,0.5,1
"277","wared",2.47815364196188,-0.0683239516449599,0.5,1
"278","streat",9.82636172826257,-0.0576209869597365,0.5,1
"279","snose",3.68684091292483,-0.0520827558941857,0.5,1
"280","overwhelm",2.00774602296819,-0.0240227147968151,0.5,1
"281","med",1.47930370796552,-0.00933832762089772,0.5,1
"282","whose",1.22993579223847,-0.000263403031378003,0.5,1
"283","circus",1.00318132640919,0.0195702817332146,0.5,1
"284","garment",3.20231368058808,0.0303202272272946,0.5,1
"285","complase",3.22675868020356,0.095872071893105,0.5,1
"286","fing",1.82547276552206,0.117070503929684,0.5,1
"287","fatter",1.7959457188908,0.183567417325274,0.5,1
"288","accustomed",3.78809568349248,0.216986492853513,0.5,1
"289","chanding",4.2859838566411,0.225276952414625,0.5,1
"290","mader",2.37030748942371,0.396001207805794,0.5,1
"291","shink",2.57551267386198,0.442993583656081,0.5,1
"292","potent",3.58204981081243,0.497885188831173,0.5,1
"293","appropriates",2.00796167464846,0.499559089668147,0.5,1
"294","bads",5.87085635656019,0.763737926256607,0.5,1
"295","rackle",0.912029482721453,0.882850909293663,0.5,1
"296","seadrill",17.8469482174185,0.983307412311755,0.5,1
"297","telescoped",1.14295461589535,1.45053317258389,0.5,1
"298","recorse",1.57858706622926,1.51487589118974,0.5,1
"299","bot",1.14947814805984,2.17714680468163,0.5,1
