"","words","a","b","g","u"
"139","describe",1,-0.953302934809097,0.5,1
"140","brubs",1,-0.92596156447189,0.5,1
"141","besime",1,-0.922601100282729,0.5,1
"142","hus",1,-0.912113508351732,0.5,1
"143","cowbim",1,-0.911301399158899,0.5,1
"144","idthepiates",1,-0.878351665268618,0.5,1
"145","famous",1,-0.875854446371178,0.5,1
"146","alipol",1,-0.859606709449723,0.5,1
"147","thantboard",1,-0.85592994392395,0.5,1
"148","hect",1,-0.814813926269439,0.5,1
"149","sildal",1,-0.790737492290399,0.5,1
"150","nied",1,-0.778484751373513,0.5,1
"151","compliment",1,-0.765457193837179,0.5,1
"152","cotosks",1,-0.706043707479389,0.5,1
"153","pencil",1,-0.688298134308076,0.5,1
"154","purchase",1,-0.679186228596944,0.5,1
"155","lant",1,-0.674864265515091,0.5,1
"156","hom",1,-0.665913945262502,0.5,1
"157","crovel",1,-0.665119258750427,0.5,1
"158","short",1,-0.663621727585421,0.5,1
"159","leald",1,-0.656205522974268,0.5,1
"160","nop",1,-0.652787396420505,0.5,1
"161","scays",1,-0.639074752897199,0.5,1
"162","flankfopper",1,-0.635782956433191,0.5,1
"163","grat",1,-0.635346429044289,0.5,1
"164","fireer",1,-0.625513701033563,0.5,1
"165","went",1,-0.620077092561903,0.5,1
"166","ston",1,-0.614374639467701,0.5,1
"167","holily",1,-0.60847424010412,0.5,1
"168","etecants",1,-0.596912049006274,0.5,1
"169","grasshopper",1,-0.591287705958455,0.5,1
"170","ther",1,-0.535271470804069,0.5,1
"171","bledge",1,-0.517893910352954,0.5,1
"172","cotplicant",1,-0.514718926776617,0.5,1
"173","cas",1,-0.493272717690424,0.5,1
"174","custom",1,-0.482886281090477,0.5,1
"175","shine",1,-0.480091750910389,0.5,1
"176","blans",1,-0.478413687563046,0.5,1
"177","contain",1,-0.457986898170794,0.5,1
"178","drustion",1,-0.439608736960003,0.5,1
"179","toy",1,-0.439218896573164,0.5,1
"180","bangs",1,-0.411898776725908,0.5,1
"181","germantia",1,-0.39372458492964,0.5,1
"182","hane",1,-0.33393094888705,0.5,1
"183","crit",1,-0.327793678747161,0.5,1
"184","liberty",1,-0.326856631673018,0.5,1
"185","ase",1,-0.326825226763386,0.5,1
"186","gravel",1,-0.324981244617524,0.5,1
"187","albust",1,-0.296051839507755,0.5,1
"188","baafness",1,-0.289956516206662,0.5,1
"189","distance",1,-0.287493649978997,0.5,1
"190","sint",1,-0.275538848519718,0.5,1
"191","speveal",1,-0.273783859212403,0.5,1
"192","budget",1,-0.261855342444092,0.5,1
"193","sudsage",1,-0.258629098198112,0.5,1
"194","collosks",1,-0.206412745758925,0.5,1
"195","fimp",1,-0.205766955635507,0.5,1
"196","goud",1,-0.204967120408268,0.5,1
"197","tice",1,-0.194414176882287,0.5,1
"198","arsher",1,-0.186619963786234,0.5,1
"199","bove",1,-0.18298312629388,0.5,1
"200","slace",1,-0.137440658276966,0.5,1
"201","warpen",1,-0.126539969033016,0.5,1
"202","tate",1,-0.118278945948043,0.5,1
"203","bere",1,-0.115940902245091,0.5,1
"204","strosh",1,-0.0949330800775941,0.5,1
"205","hube",1,-0.0703756389323131,0.5,1
"206","elements",1,-0.057891099913332,0.5,1
"207","mout",1,-0.0507502131678512,0.5,1
"208","woft",1,-0.0441436318223319,0.5,1
"209","molent",1,-0.0408853119457298,0.5,1
"210","mich",1,-0.017061098873619,0.5,1
"211","bulbet",1,-0.0151484812459254,0.5,1
"212","loak",1,-0.0046202769467585,0.5,1
"213","jewel",1,0.00782822696651784,0.5,1
"214","inpant",1,0.0210753468774036,0.5,1
"215","wawed",1,0.0228680921436824,0.5,1
"216","pame",1,0.0484073336912966,0.5,1
"217","charks",1,0.0559767292816571,0.5,1
"218","ancrusinishness",1,0.0686058982927092,0.5,1
"219","leld",1,0.0810275518036491,0.5,1
"220","runey",1,0.0857859918186464,0.5,1
"221","shring",1,0.10382056251791,0.5,1
"222","wase",1,0.112426371726816,0.5,1
"223","banny",1,0.140982947099713,0.5,1
"224","han",1,0.148576127690234,0.5,1
"225","resolve",1,0.156772915382515,0.5,1
"226","telechinct",1,0.157266940406226,0.5,1
"227","ablood",1,0.175251700802859,0.5,1
"228","naw",1,0.215163472514705,0.5,1
"229","trull",1,0.216281368337103,0.5,1
"230","hadder",1,0.224733372721382,0.5,1
"231","investigate",1,0.247045984684175,0.5,1
"232","an",1,0.251884194411454,0.5,1
"233","gaian",1,0.253584056521177,0.5,1
"234","vesural",1,0.254421038281344,0.5,1
"235","spoll",1,0.270525596286034,0.5,1
"236","distides",1,0.277157368359165,0.5,1
