"","visit_age"
"1",8.16666666666667
"2",8.16666666666667
"3",8.16666666666667
"4",8.16666666666667
"5",8.16666666666667
"6",8.16666666666667
"7",8.16666666666667
"8",8.16666666666667
"9",8.16666666666667
"10",8.16666666666667
"11",8.16666666666667
"12",8.16666666666667
"13",8.16666666666667
"14",8.16666666666667
"15",8.16666666666667
"16",8.16666666666667
"17",8.16666666666667
"18",8.16666666666667
"19",8.16666666666667
"20",8.16666666666667
"21",8.16666666666667
"22",8.16666666666667
"23",8.16666666666667
"24",8.16666666666667
"25",8.16666666666667
"26",8.16666666666667
"27",8.16666666666667
"28",8.16666666666667
"29",8.16666666666667
"30",8.16666666666667
"31",8.16666666666667
"32",8.16666666666667
"33",8.16666666666667
"34",8.16666666666667
"35",8.16666666666667
"36",8.16666666666667
"37",8.16666666666667
"38",8.16666666666667
"39",8.16666666666667
"40",8.16666666666667
"41",8.16666666666667
"42",8.16666666666667
"43",8.16666666666667
"44",8.16666666666667
"45",8.16666666666667
"46",8.16666666666667
"47",8.16666666666667
"48",8.16666666666667
"49",8.16666666666667
"50",8.16666666666667
"51",8.16666666666667
"52",8.16666666666667
"53",8.16666666666667
"54",8.16666666666667
"55",8.16666666666667
"56",8.16666666666667
"57",8.16666666666667
"58",8.16666666666667
"59",8.16666666666667
"60",8.16666666666667
"61",8.16666666666667
"62",8.16666666666667
"63",8.16666666666667
"64",8.16666666666667
"65",8.16666666666667
"66",8.16666666666667
"67",8.16666666666667
"68",8.16666666666667
"69",8.16666666666667
"70",8.16666666666667
"71",8.16666666666667
"72",8.16666666666667
"73",8.16666666666667
"74",8.16666666666667
"75",8.16666666666667
"76",8.16666666666667
"77",8.16666666666667
"78",8.16666666666667
"79",8.16666666666667
"80",8.16666666666667
"81",8.16666666666667
"82",8.16666666666667
"83",8.16666666666667
"84",8.16666666666667
"85",8.16666666666667
"86",8.16666666666667
"87",8.16666666666667
"88",8.16666666666667
"89",8.16666666666667
"90",8.16666666666667
"91",8.16666666666667
"92",8.16666666666667
"93",8.16666666666667
"94",8.16666666666667
"95",8.16666666666667
"96",8.16666666666667
"97",8.16666666666667
"98",8.16666666666667
"99",8.16666666666667
"100",8.16666666666667
"101",8.16666666666667
"102",8.16666666666667
"103",8.16666666666667
"104",8.16666666666667
"105",8.16666666666667
"106",8.16666666666667
"107",8.16666666666667
"108",8.16666666666667
"109",8.16666666666667
"110",8.16666666666667
"111",8.16666666666667
"112",8.16666666666667
"113",8.16666666666667
"114",8.16666666666667
"115",8.16666666666667
"116",8.16666666666667
"117",8.16666666666667
"118",8.16666666666667
"119",8.16666666666667
"120",8.16666666666667
"121",8.16666666666667
"122",8.16666666666667
"123",8.16666666666667
"124",8.16666666666667
"125",8.16666666666667
"126",8.16666666666667
"127",8.16666666666667
"128",8.16666666666667
"129",8.16666666666667
"130",8.16666666666667
"131",8.16666666666667
"132",8.16666666666667
"133",8.16666666666667
"134",8.16666666666667
"135",8.16666666666667
"136",8.16666666666667
"137",8.16666666666667
"138",8.16666666666667
"139",8.16666666666667
"140",8.16666666666667
"141",8.16666666666667
"142",8.16666666666667
"143",8.16666666666667
"144",8.16666666666667
"145",8.16666666666667
"146",8.16666666666667
"147",8.16666666666667
"148",8.16666666666667
"149",8.16666666666667
"150",8.16666666666667
"151",8.16666666666667
"152",8.16666666666667
"153",8.16666666666667
"154",8.16666666666667
"155",8.16666666666667
"156",8.16666666666667
"157",8.16666666666667
"158",8.16666666666667
"159",8.16666666666667
"160",8.16666666666667
"161",8.16666666666667
"162",8.16666666666667
"163",8.16666666666667
"164",8.16666666666667
"165",8.16666666666667
"166",8.16666666666667
"167",8.16666666666667
"168",8.16666666666667
"169",8.16666666666667
"170",8.16666666666667
"171",8.16666666666667
"172",8.16666666666667
"173",8.16666666666667
"174",8.16666666666667
