"","realpseudo"
"914","pseudo"
"915","real"
"916","real"
"917","pseudo"
"918","real"
"919","pseudo"
"920","real"
"921","real"
"922","pseudo"
"923","pseudo"
"924","real"
"925","pseudo"
"926","pseudo"
"927","pseudo"
"928","pseudo"
"929","pseudo"
"930","real"
"931","real"
"932","real"
"933","real"
"934","pseudo"
"935","real"
"936","pseudo"
"937","real"
"938","pseudo"
"939","real"
"940","pseudo"
"941","pseudo"
"942","pseudo"
"943","pseudo"
"944","real"
"945","pseudo"
"946","pseudo"
"947","pseudo"
"948","real"
"949","real"
"950","real"
"951","pseudo"
"952","pseudo"
"953","real"
"954","pseudo"
"955","real"
"956","real"
"957","real"
"958","real"
"959","real"
"960","pseudo"
"961","pseudo"
"962","real"
"963","pseudo"
"964","real"
"965","real"
"966","real"
"967","pseudo"
"968","pseudo"
"969","real"
"970","pseudo"
"971","pseudo"
"972","pseudo"
"973","real"
"974","real"
"975","real"
"976","pseudo"
"977","pseudo"
"978","pseudo"
"979","pseudo"
"980","real"
"981","real"
"982","pseudo"
"983","real"
"984","pseudo"
"985","pseudo"
"986","real"
"987","pseudo"
"988","pseudo"
"989","pseudo"
"990","real"
"991","pseudo"
"992","pseudo"
"993","real"
"994","real"
"995","pseudo"
"996","real"
"997","pseudo"
"998","pseudo"
"999","pseudo"
"1000","real"
"1001","real"
"1002","pseudo"
"1003","pseudo"
"1004","real"
"1005","pseudo"
"1006","pseudo"
"1007","pseudo"
"1008","pseudo"
"1009","real"
"1010","pseudo"
"1011","real"
"1012","real"
"1013","real"
"1014","real"
"1015","pseudo"
"1016","pseudo"
"1017","pseudo"
"1018","real"
"1019","pseudo"
"1020","pseudo"
"1021","real"
"1022","real"
"1023","pseudo"
"1024","real"
"1025","pseudo"
"1026","pseudo"
"1027","real"
"1028","real"
"1029","real"
"1030","real"
"1031","real"
"1032","pseudo"
"1033","pseudo"
"1034","real"
"1035","pseudo"
"1036","real"
"1037","real"
"1038","pseudo"
"1039","real"
"1040","pseudo"
"1041","real"
"1042","pseudo"
"1043","pseudo"
"1044","real"
"1045","real"
"1046","real"
"1047","real"
"1048","pseudo"
"1049","real"
"1050","pseudo"
"1051","real"
"1052","pseudo"
"1053","pseudo"
"1054","real"
"1055","pseudo"
"1056","real"
"1057","pseudo"
"1058","pseudo"
"1059","pseudo"
"1060","real"
"1061","pseudo"
"1062","pseudo"
"1063","pseudo"
"1064","real"
"1065","pseudo"
"1066","real"
"1067","real"
"1068","real"
"1069","real"
"1070","pseudo"
"1071","pseudo"
"1072","real"
"1073","pseudo"
"1074","pseudo"
"1075","pseudo"
"1076","pseudo"
"1077","real"
"1078","pseudo"
"1079","pseudo"
"1080","real"
"1081","real"
"1082","real"
"1083","real"
"1084","pseudo"
"1085","pseudo"
"1086","pseudo"
"1087","real"
"1088","real"
"1089","pseudo"
"1090","real"
"1091","real"
"1092","real"
"1093","real"
"1094","real"
"1095","pseudo"
"1096","real"
"1097","real"
"1098","pseudo"
"1099","pseudo"
"1100","pseudo"
"1101","real"
"1102","pseudo"
"1103","real"
"1104","pseudo"
"1105","pseudo"
"1106","real"
"1107","pseudo"
"1108","real"
"1109","pseudo"
"1110","pseudo"
"1111","pseudo"
"1112","pseudo"
"1113","pseudo"
"1114","pseudo"
"1115","pseudo"
"1116","pseudo"
"1117","real"
"1118","real"
"1119","pseudo"
"1120","pseudo"
"1121","real"
"1122","pseudo"
"1123","real"
"1124","pseudo"
"1125","real"
"1126","pseudo"
"1127","pseudo"
"1128","pseudo"
"1129","real"
"1130","real"
"1131","real"
"1132","pseudo"
"1133","pseudo"
"1134","pseudo"
"1135","pseudo"
"1136","pseudo"
"1137","pseudo"
"1138","real"
"1139","pseudo"
"1140","pseudo"
"1141","pseudo"
"1142","pseudo"
"1143","real"
"1144","real"
"1145","pseudo"
"1146","pseudo"
"1147","pseudo"
"1148","real"
"1149","real"
"1150","real"
"1151","real"
"1152","real"
"1153","real"
"1154","pseudo"
"1155","real"
"1156","pseudo"
"1157","pseudo"
"1158","real"
"1159","real"
"1160","pseudo"
"1161","real"
"1162","real"
"1163","real"
"1164","real"
"1165","pseudo"
"1166","real"
"1167","pseudo"
"1168","real"
"1169","real"
"1170","real"
"1171","pseudo"
"1172","real"
"1173","real"
"1174","real"
"1175","pseudo"
"1176","real"
"1177","pseudo"
"1178","pseudo"
"1179","pseudo"
"1180","real"
"1181","real"
"1182","pseudo"
"1183","real"
"1184","real"
"1185","pseudo"
"1186","real"
"1187","real"
"1188","real"
"1189","pseudo"
"1190","real"
"1191","real"
"1192","pseudo"
"1193","pseudo"
"1194","real"
"1195","pseudo"
"1196","pseudo"
"1197","real"
"1198","real"
"1199","real"
"1200","real"
"1201","real"
"1202","real"
"1203","pseudo"
"1204","pseudo"
"1205","pseudo"
"1206","real"
"1207","real"
"1208","real"
"1209","pseudo"
"1210","real"
"1211","real"
"1212","pseudo"
"1213","real"
"1214","real"
"1215","real"
"1216","pseudo"
"1217","real"
"1218","real"
"1219","real"
"1220","pseudo"
"1221","real"
"1222","pseudo"
"1223","pseudo"
"1224","real"
"1225","pseudo"
"1226","real"
"1227","real"
"1228","pseudo"
"1229","pseudo"
"1230","pseudo"
"1231","pseudo"
"1232","pseudo"
"1233","pseudo"
"1234","real"
"1235","pseudo"
"1236","real"
"1237","pseudo"
"1238","real"
"1239","pseudo"
"1240","real"
"1241","real"
"1242","pseudo"
"1243","real"
"1244","pseudo"
"1245","pseudo"
"1246","pseudo"
"1247","pseudo"
"1248","pseudo"
"1249","pseudo"
"1250","pseudo"
"1251","real"
"1252","pseudo"
"1253","real"
"1254","pseudo"
"1255","pseudo"
"1256","real"
"1257","real"
"1258","pseudo"
"1259","pseudo"
"1260","pseudo"
"1261","real"
"1262","pseudo"
"1263","real"
"1264","pseudo"
"1265","pseudo"
"1266","real"
"1267","pseudo"
"1268","real"
"1269","real"
"1270","pseudo"
"1271","real"
"1272","real"
"1273","pseudo"
"1274","real"
"1275","real"
"1276","real"
"1277","pseudo"
"1278","pseudo"
"1279","pseudo"
"1280","real"
"1281","real"
"1282","real"
"1283","real"
"1284","pseudo"
"1285","real"
"1286","real"
"1287","pseudo"
"1288","pseudo"
"1289","real"
"1290","real"
"1291","real"
"1292","real"
"1293","pseudo"
"1294","real"
"1295","pseudo"
"1296","pseudo"
"1297","real"
"1298","pseudo"
"1299","pseudo"
"1300","real"
"1301","pseudo"
"1302","pseudo"
"1303","real"
"1304","pseudo"
"1305","real"
"1306","pseudo"
"1307","real"
"1308","pseudo"
"1309","pseudo"
"1310","real"
"1311","pseudo"
"1312","real"
"1313","pseudo"
"1314","real"
"1315","pseudo"
"1316","real"
"1317","pseudo"
"1318","real"
"1319","pseudo"
"1320","pseudo"
"1321","real"
"1322","real"
"1323","real"
"1324","real"
"1325","real"
"1326","pseudo"
"1327","pseudo"
"1328","pseudo"
"1329","real"
"1330","real"
"1331","real"
"1332","pseudo"
"1333","pseudo"
"1334","real"
"1335","pseudo"
"1336","real"
"1337","pseudo"
"1338","real"
"1339","real"
"1340","real"
"1341","pseudo"
"1342","real"
"1343","pseudo"
"1344","pseudo"
"1345","pseudo"
"1346","pseudo"
"1347","real"
"1348","real"
"1349","real"
"1350","pseudo"
"1351","real"
"1352","real"
"1353","real"
"1354","pseudo"
"1355","real"
"1356","pseudo"
"1357","pseudo"
"1358","pseudo"
"1359","pseudo"
"1360","real"
"1361","real"
"1362","pseudo"
"1363","pseudo"
