"","realpseudo"
"1","pseudo"
"2","real"
"3","real"
"4","pseudo"
"5","pseudo"
"6","pseudo"
"7","pseudo"
"8","pseudo"
"9","real"
"10","real"
"11","real"
"12","real"
"13","real"
"14","real"
"15","real"
"16","pseudo"
"17","pseudo"
"18","real"
"19","pseudo"
"20","real"
"21","pseudo"
"22","pseudo"
"23","real"
"24","pseudo"
"25","pseudo"
"26","pseudo"
"27","pseudo"
"28","real"
"29","pseudo"
"30","real"
"31","pseudo"
"32","real"
"33","real"
"34","pseudo"
"35","real"
"36","pseudo"
"37","real"
"38","real"
"39","pseudo"
"40","pseudo"
"41","pseudo"
"42","pseudo"
"43","real"
"44","real"
"45","real"
"46","real"
"47","pseudo"
"48","real"
"49","pseudo"
"50","pseudo"
"51","real"
"52","pseudo"
"53","pseudo"
"54","pseudo"
"55","real"
"56","pseudo"
"57","real"
"58","pseudo"
"59","real"
"60","pseudo"
"61","real"
"62","pseudo"
"63","real"
"64","real"
"65","pseudo"
"66","real"
"67","pseudo"
"68","real"
"69","pseudo"
"70","real"
"71","real"
"72","real"
"73","real"
"74","real"
"75","pseudo"
"76","real"
"77","real"
"78","pseudo"
"79","real"
"80","pseudo"
"81","real"
"82","pseudo"
"83","real"
"84","real"
"85","pseudo"
"86","real"
"87","pseudo"
"88","pseudo"
"89","real"
"90","pseudo"
"91","pseudo"
"92","pseudo"
"93","real"
"94","pseudo"
"95","real"
"96","pseudo"
"97","real"
"98","real"
"99","pseudo"
"100","pseudo"
"101","real"
"102","real"
"103","pseudo"
"104","real"
"105","pseudo"
"106","pseudo"
"107","pseudo"
"108","pseudo"
"109","real"
"110","real"
"111","pseudo"
"112","pseudo"
"113","real"
"114","real"
"115","pseudo"
"116","real"
"117","pseudo"
"118","real"
"119","real"
"120","pseudo"
"121","pseudo"
"122","pseudo"
"123","real"
"124","pseudo"
"125","pseudo"
"126","real"
"127","real"
"128","real"
"129","real"
"130","pseudo"
"131","pseudo"
"132","real"
"133","pseudo"
"134","pseudo"
"135","real"
"136","pseudo"
"137","pseudo"
"138","real"
"139","pseudo"
"140","pseudo"
"141","pseudo"
"142","real"
"143","real"
"144","pseudo"
"145","pseudo"
"146","pseudo"
"147","real"
"148","real"
"149","real"
"150","real"
"151","pseudo"
"152","real"
"153","real"
"154","pseudo"
"155","pseudo"
"156","real"
"157","real"
"158","real"
"159","pseudo"
"160","real"
"161","pseudo"
"162","pseudo"
"163","real"
"164","real"
"165","pseudo"
"166","pseudo"
"167","pseudo"
"168","pseudo"
"169","real"
"170","real"
"171","pseudo"
"172","real"
"173","pseudo"
"174","pseudo"
"175","real"
"176","pseudo"
"177","pseudo"
"178","pseudo"
"179","real"
"180","real"
"181","pseudo"
"182","real"
"183","real"
"184","real"
"185","pseudo"
"186","real"
"187","real"
"188","pseudo"
"189","pseudo"
"190","pseudo"
"191","real"
"192","real"
"193","real"
"194","pseudo"
"195","real"
"196","real"
"197","pseudo"
"198","real"
"199","real"
"200","pseudo"
"201","real"
"202","pseudo"
"203","pseudo"
"204","real"
"205","real"
"206","pseudo"
"207","pseudo"
"208","real"
"209","pseudo"
"210","real"
"211","pseudo"
"212","pseudo"
"213","pseudo"
"214","pseudo"
"215","real"
"216","real"
"217","pseudo"
"218","pseudo"
"219","pseudo"
"220","pseudo"
"221","real"
"222","pseudo"
"223","real"
"224","real"
"225","real"
"226","real"
"227","pseudo"
"228","real"
"229","real"
"230","real"
"231","real"
"232","pseudo"
"233","real"
"234","real"
"235","real"
"236","real"
"237","pseudo"
"238","pseudo"
"239","pseudo"
"240","pseudo"
"241","pseudo"
"242","real"
"243","pseudo"
"244","real"
"245","real"
"246","pseudo"
"247","real"
"248","pseudo"
"249","real"
"250","pseudo"
"251","pseudo"
"252","pseudo"
"253","pseudo"
"254","real"
"255","real"
"256","pseudo"
"257","pseudo"
"258","pseudo"
"259","real"
"260","pseudo"
"261","pseudo"
"262","pseudo"
"263","pseudo"
"264","real"
"265","pseudo"
"266","pseudo"
"267","real"
"268","pseudo"
"269","real"
"270","pseudo"
"271","real"
"272","real"
"273","pseudo"
"274","real"
"275","real"
"276","real"
"277","pseudo"
"278","real"
"279","pseudo"
"280","real"
"281","real"
"282","real"
"283","pseudo"
"284","real"
"285","real"
"286","real"
"287","real"
"288","pseudo"
"289","pseudo"
"290","pseudo"
"291","pseudo"
"292","real"
"293","real"
"294","real"
"295","real"
"296","pseudo"
"297","real"
"298","pseudo"
"299","pseudo"
"300","real"
"301","pseudo"
"302","pseudo"
"303","real"
"304","real"
"305","pseudo"
"306","pseudo"
"307","pseudo"
"308","real"
"309","real"
"310","real"
"311","pseudo"
"312","real"
"313","real"
"314","pseudo"
"315","real"
"316","pseudo"
"317","real"
"318","real"
"319","pseudo"
"320","pseudo"
"321","pseudo"
"322","real"
"323","real"
"324","real"
"325","real"
"326","pseudo"
"327","pseudo"
"328","pseudo"
"329","pseudo"
"330","pseudo"
"331","pseudo"
"332","pseudo"
"333","pseudo"
"334","real"
"335","pseudo"
"336","pseudo"
"337","real"
"338","real"
"339","real"
"340","real"
"341","real"
"342","pseudo"
"343","pseudo"
"344","real"
"345","pseudo"
"346","pseudo"
"347","real"
"348","real"
"349","pseudo"
"350","pseudo"
"351","real"
"352","real"
"353","pseudo"
"354","real"
"355","pseudo"
"356","pseudo"
"357","pseudo"
"358","real"
"359","pseudo"
"360","pseudo"
"361","pseudo"
"362","real"
"363","pseudo"
"364","real"
"365","real"
"366","real"
"367","pseudo"
"368","real"
"369","real"
"370","real"
"371","pseudo"
"372","real"
"373","real"
"374","pseudo"
"375","real"
"376","real"
"377","real"
"378","pseudo"
"379","real"
"380","real"
"381","pseudo"
"382","pseudo"
"383","real"
"384","pseudo"
"385","pseudo"
"386","pseudo"
"387","real"
"388","real"
"389","pseudo"
"390","real"
"391","pseudo"
"392","real"
"393","pseudo"
"394","real"
"395","real"
"396","real"
"397","pseudo"
"398","pseudo"
"399","real"
"400","pseudo"
"401","pseudo"
"402","pseudo"
"403","pseudo"
"404","real"
