"","rt"
"1",14.179765
"2",1.9233
"3",2.701725
"4",1.436195
"5",3.700795
"6",1.58456
"7",1.60096
"8",1.294825
"9",3.237045
"10",1.93758
"11",1.05681
"12",0.94498
"13",2.60677
"14",1.081715
"15",2.09219
"16",2.0094
"17",2.051785
"18",1.1353
"19",1.15122
"20",1.17158
"21",1.370495
"22",1.180195
"23",1.078485
"24",4.51509
"25",2.335355
"26",2.10271
"27",1.283425
"28",0.86046
"29",1.39566
"30",0.969685
"31",1.433795
"32",1.14399
"33",1.26679
"34",2.26734
"35",1.37377
"36",1.31694
"37",1.250745
"38",1.02452
"39",1.95285
"40",2.006045
"41",1.8626
"42",1.69956
"43",1.6346
"44",0.76902
"45",0.782205
"46",1.321655
"47",1.554255
"48",0.870905
"49",1.28309
"50",1.72507
"51",1.4547
"52",1.19521
"53",1.233545
"54",1.38499
"55",2.983525
"56",2.588455
"57",0.81109
"58",1.369115
"59",0.751645
"60",0.9343
"61",0.75411
"62",1.64218
"63",0.917275
"64",1.694375
"65",1.4992
"66",1.02389
"67",1.300865
"68",0.80107
"69",1.27796
"70",0.93295
"71",0.92537
"72",1.0695
"73",1.533305
"74",0.82371
"75",1.268145
"76",0.975245
"77",1.090995
"78",1.39857
"79",1.29172
"80",1.940275
"81",1.54224
"82",1.38189
"83",1.20298
"84",1.443765
"85",1.23266
"86",1.068715
"87",1.32363
"88",1.23465
"89",1.251235
"90",1.21982
"91",1.037395
"92",0.982475
"93",0.91691
"94",1.215455
"95",0.84834
"96",2.338055
"97",1.35264
"98",0.98701
"99",1.22121
"100",1.320475
"101",3.05751
"102",1.67025
"103",1.406855
"104",1.14107
"105",1.05585
"106",1.368855
"107",1.06953
"108",1.19873
"109",1.257
"110",1.290665
"111",1.01523
"112",1.06454
"113",1.220255
"114",1.230895
"115",0.58904
"116",1.051165
"117",1.12109
"118",0.755335
"119",1.420285
"120",1.265995
"121",5.43489
"122",2.0896
"123",0.74118
"124",1.78952
"125",1.2753
"126",1.732815
"127",2.43788
"128",15.20026
"129",1.96703
"130",2.71318
"131",1.03124
"132",0.8203
"133",0.99484
"134",1.2592
"135",0.98297
"136",1.046625
"137",18.16911
"138",4.662015
"139",1.35519
"140",1.08784
"141",1.11646
"142",0.822385
"143",1.739155
"144",1.236905
"145",1.27219
