"","rt"
"1",13.04792
"2",2.933015
"3",1.252245
"4",1.79129
"5",4.876355
"6",1.31442
"7",2.364745
"8",0.914155
"9",9.266495
"10",1.68092
"11",1.28452
"12",1.117125
"13",14.209995
"14",1.985685
"15",1.682675
"16",0.38172
"17",1.262825
"18",1.14717
"19",8.57383
"20",2.26696
"21",3.61458
"22",6.34865
"23",1.59892
"24",6.109675
"25",1.396605
"26",0.93184
"27",1.932705
"28",1.12762
"29",1.214705
"30",3.178635
"31",1.08599
"32",1.051155
"33",1.594945
"34",1.730625
"35",0.9797
"36",1.76154
"37",2.72186
"38",1.733065
"39",1.146565
"40",5.814495
"41",1.93266
"42",1.803535
"43",1.28308
"44",11.46358
"45",3.062515
"46",5.417315
"47",2.464705
"48",2.115835
"49",5.08949
"50",12.49832
"51",1.41578
"52",5.535985
"53",1.84744
"54",0.14619
"55",6.04967
"56",1.614505
"57",1.6139
"58",1.166565
"59",1.416075
"60",1.531975
"61",0.947115
"62",1.98144
"63",1.12861
"64",1.01424
"65",0.950285
"66",0.848785
"67",0.877235
"68",1.0854
"69",0.91427
"70",1.27981
"71",1.04866
"72",1.215775
"73",0.86504
"74",0.913835
"75",1.032765
"76",0.897075
"77",0.864395
"78",1.18412
"79",1.181585
"80",0.953135
"81",1.194755
"82",0.832075
"83",0.91672
"84",1.24998
"85",0.84709
"86",0.96543
"87",1.3156
"88",1.42995
"89",0.964965
"90",1.43183
"91",0.878675
"92",0.88286
"93",2.31455
"94",1.565765
"95",3.83097
"96",1.66049
"97",3.47256
"98",0.066915
"99",1.61705
"100",1.317915
"101",1.457095
"102",1.10502
"103",1.193335
"104",3.51008
"105",1.03425
"106",1.01672
"107",1.284595
"108",1.59386
"109",1.065775
"110",1.783725
"111",1.813835
"112",5.47125
"113",1.964995
"114",3.63045
"115",2.584455
"116",5.684375
"117",1.446225
"118",2.785555
"119",2.282235
"120",4.7311
"121",2.184905
"122",1.09972
"123",3.91522
"124",1.87126
"125",5.61617
"126",2.133305
"127",1.19661
"128",1.19874
"129",3.863035
"130",16.58127
"131",1.33324
"132",1.76173
"133",1.36338
"134",3.862925
"135",2.071985
"136",9.69782
"137",2.16574
"138",1.530355
"139",3.652435
"140",1.680775
"141",1.616015
"142",1.499135
"143",2.2484
"144",1.330455
"145",1.62018
"146",4.4981
"147",1.385355
"148",2.534705
"149",3.2669
"150",1.413535
"151",2.202105
"152",1.417065
"153",1.34634
"154",1.59749
"155",1.231015
"156",7.00243
"157",1.01282
"158",1.14918
"159",0.816015
"160",1.132625
"161",1.283925
"162",1.01273
"163",1.64552
"164",1.861685
"165",1.314555
"166",1.570255
"167",1.095165
"168",1.6819
"169",1.066185
"170",1.73333
"171",0.082095
"172",9.647065
"173",2.06238
"174",1.71517
"175",3.43359
"176",1.65197
"177",1.91665
"178",1.69682
"179",2.96728
"180",2.806735
"181",1.84717
"182",1.222715
"183",1.27921
"184",1.446835
"185",2.355155
"186",1.680885
"187",5.448005
"188",2.3475
"189",1.09611
"190",1.160365
"191",0.898685
"192",0.879485
"193",3.931245
"194",2.400525
"195",2.550205
"196",2.483755
"197",20.066275
"198",6.663135
"199",5.215525
"200",1.38023
"201",21.43178
"202",7.205765
"203",2.070245
"204",2.43925
"205",2.153265
"206",2.849885
"207",13.20788
"208",1.38533
"209",8.348305
"210",1.13265
"211",1.31344
"212",1.3386
"213",3.20812
"214",1.049215
"215",1.5119
"216",1.11836
"217",1.108245
"218",1.08167
"219",1.163025
"220",2.046625
"221",0.97797
"222",1.069635
"223",2.56825
"224",0.930215
"225",1.08601
"226",2.49966
"227",3.19654
"228",1.199505
"229",2.89995
"230",1.048905
"231",1.814805
"232",1.66924
"233",4.00731
"234",6.14882
"235",1.510045
"236",1.79963
"237",3.21281
"238",37.646265
"239",1.39655
"240",1.331085
"241",2.226245
"242",1.46456
"243",11.35843
"244",1.452495
"245",1.0151
"246",0.93287
"247",1.60824
"248",2.228815
"249",2.347425
"250",12.007935
"251",1.57751
"252",1.894365
"253",1.304025
"254",7.582455
"255",4.50058
"256",1.601435
"257",1.197955
"258",1.76879
"259",2.44294
"260",1.23125
"261",1.013
"262",1.112065
"263",1.14828
"264",1.09767
"265",1.26651
"266",2.937435
"267",2.190705
"268",10.559335
"269",2.199615
"270",2.421295
"271",2.433525
"272",1.71449
"273",1.625365
"274",1.083995
"275",11.29718
"276",1.24843
"277",9.04909
"278",1.187745
"279",1.46369
"280",1.01255
"281",1.355705
"282",1.765855
"283",1.181625
"284",1.949725
"285",1.764445
"286",2.08127
"287",1.563755
"288",1.515705
"289",1.784645
"290",6.33317
"291",2.24897
"292",1.14323
"293",1.40337
"294",1.450405
"295",1.698285
"296",5.695015
"297",2.500435
"298",5.063985
"299",1.921465
"300",2.03408
"301",2.426845
"302",1.240235
"303",1.19364
"304",0.974955
"305",1.03885
"306",0.98236
"307",3.18815
"308",0.90366
"309",0.969375
"310",2.189425
"311",1.041445
"312",1.50302
"313",1.67246
"314",1.541675
"315",2.576
"316",3.91373
"317",1.84136
"318",1.05813
"319",0.86342
"320",1.1343
"321",2.37741
"322",1.56175
"323",5.29474
"324",1.494805
"325",0.91127
"326",1.85948
"327",3.681755
