"","word","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"31","away",0.5,0.933333333333333,0.886792452830189,0.785714285714286,1,0.666666666666667,1,NA,1,1,1,1,NA,0,NA,NA,1,NA,NA,NA,NA,1,1
"32","baafness",0.5,0.533333333333333,0.622641509433962,0.767857142857143,0.954545454545455,0.666666666666667,0.909090909090909,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"33","back",1,0.733333333333333,0.792452830188679,0.910714285714286,0.818181818181818,1,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"34","bads",0.5,0.133333333333333,0.377358490566038,0.446428571428571,0.409090909090909,0.666666666666667,0.545454545454545,NA,0.5,0.333333333333333,1,0,NA,0,NA,NA,1,NA,NA,NA,NA,0,1
"35","ball",1,0.6,0.754716981132076,0.928571428571429,1,1,1,NA,1,1,1,1,NA,0,NA,NA,1,NA,NA,NA,NA,1,1
"36","bams",0,0.0666666666666667,0.566037735849057,0.839285714285714,0.863636363636364,1,0.727272727272727,NA,0,0.666666666666667,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,0
"37","bangs",1,0.733333333333333,0.547169811320755,0.75,0.818181818181818,1,1,NA,1,1,1,0,NA,1,NA,NA,1,NA,NA,NA,NA,0,1
"38","banny",0,0.133333333333333,0.509433962264151,0.714285714285714,0.818181818181818,0.833333333333333,0.727272727272727,NA,0.5,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"39","bawed",1,0.733333333333333,0.867924528301887,0.821428571428571,0.772727272727273,0.833333333333333,0.727272727272727,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"40","be",1,0.466666666666667,0.886792452830189,0.982142857142857,1,0.833333333333333,0.727272727272727,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"41","beautiful",1,0.8,0.716981132075472,0.857142857142857,0.909090909090909,0.833333333333333,0.909090909090909,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"42","become",1,0.866666666666667,0.886792452830189,0.892857142857143,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"43","beeching",0,0.333333333333333,0.509433962264151,0.732142857142857,0.772727272727273,0.833333333333333,0.636363636363636,NA,1,0.333333333333333,0,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,0
"44","beeltisul",0,0.533333333333333,0.471698113207547,0.75,0.863636363636364,1,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"45","begin",1,0.666666666666667,0.584905660377358,0.821428571428571,0.863636363636364,1,0.818181818181818,NA,1,0.666666666666667,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"46","beller",0.5,0.6,0.415094339622642,0.571428571428571,0.545454545454545,0.666666666666667,0.818181818181818,NA,1,1,1,0,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"47","benon",0.5,0.8,0.679245283018868,0.892857142857143,0.863636363636364,0.833333333333333,0.818181818181818,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"48","bere",0,0.333333333333333,0.547169811320755,0.785714285714286,0.954545454545455,0.5,0.727272727272727,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"49","besime",0,0.466666666666667,0.509433962264151,0.767857142857143,0.863636363636364,0.833333333333333,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"50","best",1,0.533333333333333,0.69811320754717,0.910714285714286,1,1,0.818181818181818,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"51","better",1,0.533333333333333,0.679245283018868,0.821428571428571,0.954545454545455,0.833333333333333,0.909090909090909,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"52","bi",0.5,0.533333333333333,0.830188679245283,0.821428571428571,0.727272727272727,0.666666666666667,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
